,titles,budgets,film_page_urls,directors,director_page_urls
385,The Maze Runner,"                
            $34MM

",https://pro.imdb.com/title/tt1790864/?ref_=search_title_T1_result_386,Wes Ball,https://pro.imdb.com/name/nm1226871/?ref_=search_title_T1_result_s_386
386,Carrie,"                
            $30MM

",https://pro.imdb.com/title/tt1939659/?ref_=search_title_T1_result_387,Kimberly Peirce,https://pro.imdb.com/name/nm0005303/?ref_=search_title_T1_result_s_387
387,The Edge of Seventeen,"                
            $9MM

",https://pro.imdb.com/title/tt1878870/?ref_=search_title_T1_result_388,Kelly Fremon Craig,https://pro.imdb.com/name/nm2609807/?ref_=search_title_T1_result_s_388
388,The A-Team,"                
            $110MM

",https://pro.imdb.com/title/tt0429493/?ref_=search_title_T1_result_389,Joe Carnahan,https://pro.imdb.com/name/nm0138620/?ref_=search_title_T1_result_s_389
389,Jason Bourne,"                
            $120MM

",https://pro.imdb.com/title/tt4196776/?ref_=search_title_T1_result_390,Paul Greengrass,https://pro.imdb.com/name/nm0339030/?ref_=search_title_T1_result_s_390
390,The Possession of Hannah Grace,"                
            $5.5MM

",https://pro.imdb.com/title/tt5734576/?ref_=search_title_T1_result_391,Diederik Van Rooijen,https://pro.imdb.com/name/nm1082611/?ref_=search_title_T1_result_s_391
391,The Grinch,"                
            $75MM

",https://pro.imdb.com/title/tt2709692/?ref_=search_title_T1_result_392,Yarrow Cheney,https://pro.imdb.com/name/nm0155528/?ref_=search_title_T1_result_s_392
392,The World's End,"                
            $20MM

",https://pro.imdb.com/title/tt1213663/?ref_=search_title_T1_result_393,Edgar Wright,https://pro.imdb.com/name/nm0942367/?ref_=search_title_T1_result_s_393
393,The Intern,"                
            $35MM

",https://pro.imdb.com/title/tt2361509/?ref_=search_title_T1_result_394,Nancy Meyers,https://pro.imdb.com/name/nm0583600/?ref_=search_title_T1_result_s_394
394,Footloose,"                
            $24MM

",https://pro.imdb.com/title/tt1068242/?ref_=search_title_T1_result_395,Craig Brewer,https://pro.imdb.com/name/nm0108132/?ref_=search_title_T1_result_s_395
395,Percy Jackson & the Olympians: The Lightning Thief,"                
            $95MM

",https://pro.imdb.com/title/tt0814255/?ref_=search_title_T1_result_396,Chris Columbus,https://pro.imdb.com/name/nm0001060/?ref_=search_title_T1_result_s_396
396,The Hobbit: The Desolation of Smaug,"                
            $225MM

",https://pro.imdb.com/title/tt1170358/?ref_=search_title_T1_result_397,Peter Jackson,https://pro.imdb.com/name/nm0001392/?ref_=search_title_T1_result_s_397
397,The Last Airbender,"                
            $150MM

",https://pro.imdb.com/title/tt0938283/?ref_=search_title_T1_result_398,M. Night Shyamalan,https://pro.imdb.com/name/nm0796117/?ref_=search_title_T1_result_s_398
398,The Happytime Murders,"                
            $40MM

",https://pro.imdb.com/title/tt1308728/?ref_=search_title_T1_result_399,Brian Henson,https://pro.imdb.com/name/nm0005008/?ref_=search_title_T1_result_s_399
399,The Commuter,"                
            $30MM

",https://pro.imdb.com/title/tt1590193/?ref_=search_title_T1_result_400,Jaume Collet-Serra,https://pro.imdb.com/name/nm1429471/?ref_=search_title_T1_result_s_400
400,Percy Jackson: Sea of Monsters,"                
            $90MM

",https://pro.imdb.com/title/tt1854564/?ref_=search_title_T1_result_401,Thor Freudenthal,https://pro.imdb.com/name/nm0294457/?ref_=search_title_T1_result_s_401
401,Suburbicon,"                
            $25MM

",https://pro.imdb.com/title/tt0491175/?ref_=search_title_T1_result_402,George Clooney,https://pro.imdb.com/name/nm0000123/?ref_=search_title_T1_result_s_402
402,The Hangover Part III,"                
            $103MM

",https://pro.imdb.com/title/tt1951261/?ref_=search_title_T1_result_403,Todd Phillips,https://pro.imdb.com/name/nm0680846/?ref_=search_title_T1_result_s_403
403,The Expendables 3,"                
            $90MM

",https://pro.imdb.com/title/tt2333784/?ref_=search_title_T1_result_404,Patrick Hughes,https://pro.imdb.com/name/nm0400850/?ref_=search_title_T1_result_s_404
404,Pacific Rim,"                
            $190MM

",https://pro.imdb.com/title/tt1663662/?ref_=search_title_T1_result_405,Guillermo del Toro,https://pro.imdb.com/name/nm0868219/?ref_=search_title_T1_result_s_405
405,Sausage Party,"                
            $19MM

",https://pro.imdb.com/title/tt1700841/?ref_=search_title_T1_result_406,Greg Tiernan,https://pro.imdb.com/name/nm0862911/?ref_=search_title_T1_result_s_406
406,Fantastic Four,"                
            $120MM

",https://pro.imdb.com/title/tt1502712/?ref_=search_title_T1_result_407,Josh Trank,https://pro.imdb.com/name/nm2503633/?ref_=search_title_T1_result_s_407
407,Now You See Me 2,"                
            $90MM

",https://pro.imdb.com/title/tt3110958/?ref_=search_title_T1_result_408,Jon M. Chu,https://pro.imdb.com/name/nm0160840/?ref_=search_title_T1_result_s_408
408,Life of Pi,"                
            $120MM

",https://pro.imdb.com/title/tt0454876/?ref_=search_title_T1_result_409,Ang Lee,https://pro.imdb.com/name/nm0000487/?ref_=search_title_T1_result_s_409
409,Easy A,"                
            $8MM

",https://pro.imdb.com/title/tt1282140/?ref_=search_title_T1_result_410,Will Gluck,https://pro.imdb.com/name/nm0323239/?ref_=search_title_T1_result_s_410
410,The Lost City of Z,"                
            $30MM

",https://pro.imdb.com/title/tt1212428/?ref_=search_title_T1_result_411,James Gray,https://pro.imdb.com/name/nm0336695/?ref_=search_title_T1_result_s_411
411,2 Guns,"                
            $61MM

",https://pro.imdb.com/title/tt1272878/?ref_=search_title_T1_result_412,Baltasar Kormákur,https://pro.imdb.com/name/nm0466349/?ref_=search_title_T1_result_s_412
412,Inherent Vice,"                
            $20MM

",https://pro.imdb.com/title/tt1791528/?ref_=search_title_T1_result_413,Paul Thomas Anderson,https://pro.imdb.com/name/nm0000759/?ref_=search_title_T1_result_s_413
413,The Post,"                
            $50MM

",https://pro.imdb.com/title/tt6294822/?ref_=search_title_T1_result_414,Steven Spielberg,https://pro.imdb.com/name/nm0000229/?ref_=search_title_T1_result_s_414
414,The Hunger Games: Mockingjay - Part 2,"                
            $160MM

",https://pro.imdb.com/title/tt1951266/?ref_=search_title_T1_result_415,Francis Lawrence,https://pro.imdb.com/name/nm1349376/?ref_=search_title_T1_result_s_415
415,Eighth Grade,"                
            $2MM

",https://pro.imdb.com/title/tt7014006/?ref_=search_title_T1_result_416,Bo Burnham,https://pro.imdb.com/name/nm3102998/?ref_=search_title_T1_result_s_416
416,Alpha,"                
            $51MM

",https://pro.imdb.com/title/tt4244998/?ref_=search_title_T1_result_417,Albert Hughes,https://pro.imdb.com/name/nm0400436/?ref_=search_title_T1_result_s_417
417,The Duff,"                
            $8.5MM

",https://pro.imdb.com/title/tt1666801/?ref_=search_title_T1_result_418,Ari Sandel,https://pro.imdb.com/name/nm1847738/?ref_=search_title_T1_result_s_418
418,Dawn of the Planet of the Apes,"                
            $170MM

",https://pro.imdb.com/title/tt2103281/?ref_=search_title_T1_result_419,Matt Reeves,https://pro.imdb.com/name/nm0716257/?ref_=search_title_T1_result_s_419
419,Lone Survivor,"                
            $40MM

",https://pro.imdb.com/title/tt1091191/?ref_=search_title_T1_result_420,Peter Berg,https://pro.imdb.com/name/nm0000916/?ref_=search_title_T1_result_s_420
420,Piranha 3D,"                
            $24MM

",https://pro.imdb.com/title/tt0464154/?ref_=search_title_T1_result_421,Alexandre Aja,https://pro.imdb.com/name/nm0014960/?ref_=search_title_T1_result_s_421
421,Moonrise Kingdom,"                
            $16MM

",https://pro.imdb.com/title/tt1748122/?ref_=search_title_T1_result_422,Wes Anderson,https://pro.imdb.com/name/nm0027572/?ref_=search_title_T1_result_s_422
422,Focus,"                
            $50MM

",https://pro.imdb.com/title/tt2381941/?ref_=search_title_T1_result_423,Glenn Ficarra,https://pro.imdb.com/name/nm0275629/?ref_=search_title_T1_result_s_423
423,Warcraft: The Beginning,"                
            $160MM

",https://pro.imdb.com/title/tt0803096/?ref_=search_title_T1_result_424,Duncan Jones,https://pro.imdb.com/name/nm1512910/?ref_=search_title_T1_result_s_424
424,G.I. Joe: Retaliation,"                
            $130MM

",https://pro.imdb.com/title/tt1583421/?ref_=search_title_T1_result_425,Jon M. Chu,https://pro.imdb.com/name/nm0160840/?ref_=search_title_T1_result_s_425
425,Rio,"                
            $90MM

",https://pro.imdb.com/title/tt1436562/?ref_=search_title_T1_result_426,Carlos Saldanha,https://pro.imdb.com/name/nm0757858/?ref_=search_title_T1_result_s_426
426,Evil Dead,"                
            $17MM

",https://pro.imdb.com/title/tt1288558/?ref_=search_title_T1_result_427,Fede Alvarez,https://pro.imdb.com/name/nm1793079/?ref_=search_title_T1_result_s_427
427,The Purge,"                
            $3MM

",https://pro.imdb.com/title/tt2184339/?ref_=search_title_T1_result_428,James DeMonaco,https://pro.imdb.com/name/nm0218621/?ref_=search_title_T1_result_s_428
428,Lawless,"                
            $26MM

",https://pro.imdb.com/title/tt1212450/?ref_=search_title_T1_result_429,John Hillcoat,https://pro.imdb.com/name/nm0384825/?ref_=search_title_T1_result_s_429
429,The Losers,"                
            $25MM

",https://pro.imdb.com/title/tt0480255/?ref_=search_title_T1_result_430,Sylvain White,https://pro.imdb.com/name/nm1234893/?ref_=search_title_T1_result_s_430
430,Only the Brave,"                
            $38MM

",https://pro.imdb.com/title/tt3829920/?ref_=search_title_T1_result_431,Joseph Kosinski,https://pro.imdb.com/name/nm2676052/?ref_=search_title_T1_result_s_431
431,American Reunion,"                
            $50MM

",https://pro.imdb.com/title/tt1605630/?ref_=search_title_T1_result_432,Jon Hurwitz,https://pro.imdb.com/name/nm1375358/?ref_=search_title_T1_result_s_432
432,The Hitman's Bodyguard,"                
            $30MM

",https://pro.imdb.com/title/tt1959563/?ref_=search_title_T1_result_433,Patrick Hughes,https://pro.imdb.com/name/nm0400850/?ref_=search_title_T1_result_s_433
433,August: Osage County,"                
            $25MM

",https://pro.imdb.com/title/tt1322269/?ref_=search_title_T1_result_434,John Wells,https://pro.imdb.com/name/nm0920274/?ref_=search_title_T1_result_s_434
434,Star Trek Into Darkness,"                
            $190MM

",https://pro.imdb.com/title/tt1408101/?ref_=search_title_T1_result_435,J.J. Abrams,https://pro.imdb.com/name/nm0009190/?ref_=search_title_T1_result_s_435
435,Pirates of the Caribbean: On Stranger Tides,"                
            $378MM

",https://pro.imdb.com/title/tt1298650/?ref_=search_title_T1_result_436,Rob Marshall,https://pro.imdb.com/name/nm0551128/?ref_=search_title_T1_result_s_436
436,Magic Mike,"                
            $7MM

",https://pro.imdb.com/title/tt1915581/?ref_=search_title_T1_result_437,Steven Soderbergh,https://pro.imdb.com/name/nm0001752/?ref_=search_title_T1_result_s_437
437,Pixels,"                
            $88MM

",https://pro.imdb.com/title/tt2120120/?ref_=search_title_T1_result_438,Chris Columbus,https://pro.imdb.com/name/nm0001060/?ref_=search_title_T1_result_s_438
438,Geostorm,"                
            $120MM

",https://pro.imdb.com/title/tt1981128/?ref_=search_title_T1_result_439,Dean Devlin,https://pro.imdb.com/name/nm0002041/?ref_=search_title_T1_result_s_439
439,Faster,"                
            $24MM

",https://pro.imdb.com/title/tt1433108/?ref_=search_title_T1_result_440,George Tillman Jr.,https://pro.imdb.com/name/nm0863387/?ref_=search_title_T1_result_s_440
440,The Florida Project,"                
            $2MM

",https://pro.imdb.com/title/tt5649144/?ref_=search_title_T1_result_441,Sean Baker,https://pro.imdb.com/name/nm0048918/?ref_=search_title_T1_result_s_441
441,The Boy,"                
            $10MM

",https://pro.imdb.com/title/tt3882082/?ref_=search_title_T1_result_442,William Brent Bell,https://pro.imdb.com/name/nm0068587/?ref_=search_title_T1_result_s_442
442,The Emoji Movie,"                
            $50MM

",https://pro.imdb.com/title/tt4877122/?ref_=search_title_T1_result_443,Tony Leondis,https://pro.imdb.com/name/nm1902232/?ref_=search_title_T1_result_s_443
443,Big Hero 6,"                
            $165MM

",https://pro.imdb.com/title/tt2245084/?ref_=search_title_T1_result_444,Don Hall,https://pro.imdb.com/name/nm2320658/?ref_=search_title_T1_result_s_444
444,This Is 40,"                
            $35MM

",https://pro.imdb.com/title/tt1758830/?ref_=search_title_T1_result_445,Judd Apatow,https://pro.imdb.com/name/nm0031976/?ref_=search_title_T1_result_s_445
445,Carol,"                
            $12MM

",https://pro.imdb.com/title/tt2402927/?ref_=search_title_T1_result_446,Todd Haynes,https://pro.imdb.com/name/nm0001331/?ref_=search_title_T1_result_s_446
446,Blue Valentine,"                
            $3.5MM

",https://pro.imdb.com/title/tt1120985/?ref_=search_title_T1_result_447,Derek Cianfrance,https://pro.imdb.com/name/nm0161834/?ref_=search_title_T1_result_s_447
447,Hugo,"                
            $150MM

",https://pro.imdb.com/title/tt0970179/?ref_=search_title_T1_result_448,Martin Scorsese,https://pro.imdb.com/name/nm0000217/?ref_=search_title_T1_result_s_448
448,The Next Three Days,"                
            $35MM

",https://pro.imdb.com/title/tt1458175/?ref_=search_title_T1_result_449,Paul Haggis,https://pro.imdb.com/name/nm0353673/?ref_=search_title_T1_result_s_449
449,The Descendants,"                
            $20MM

",https://pro.imdb.com/title/tt1033575/?ref_=search_title_T1_result_450,Alexander Payne,https://pro.imdb.com/name/nm0668247/?ref_=search_title_T1_result_s_450
450,Wild,"                
            $15MM

",https://pro.imdb.com/title/tt2305051/?ref_=search_title_T1_result_451,Jean-Marc Vallée,https://pro.imdb.com/name/nm0885249/?ref_=search_title_T1_result_s_451
451,A Ghost Story,"                
            $100K

",https://pro.imdb.com/title/tt6265828/?ref_=search_title_T1_result_452,David Lowery,https://pro.imdb.com/name/nm1108007/?ref_=search_title_T1_result_s_452
452,Sin City: A Dame to Kill For,"                
            $65MM

",https://pro.imdb.com/title/tt0458481/?ref_=search_title_T1_result_453,Frank Miller,https://pro.imdb.com/name/nm0588340/?ref_=search_title_T1_result_s_453
453,Battleship,"                
            $209MM

",https://pro.imdb.com/title/tt1440129/?ref_=search_title_T1_result_454,Peter Berg,https://pro.imdb.com/name/nm0000916/?ref_=search_title_T1_result_s_454
454,The Lone Ranger,"                
            $215MM

",https://pro.imdb.com/title/tt1210819/?ref_=search_title_T1_result_455,Gore Verbinski,https://pro.imdb.com/name/nm0893659/?ref_=search_title_T1_result_s_455
455,Pride and Prejudice and Zombies,"                
            $28MM

",https://pro.imdb.com/title/tt1374989/?ref_=search_title_T1_result_456,Burr Steers,https://pro.imdb.com/name/nm0824882/?ref_=search_title_T1_result_s_456
456,Alice in Wonderland,"                
            $200MM

",https://pro.imdb.com/title/tt1014759/?ref_=search_title_T1_result_457,Tim Burton,https://pro.imdb.com/name/nm0000318/?ref_=search_title_T1_result_s_457
457,Allied,"                
            $85MM

",https://pro.imdb.com/title/tt3640424/?ref_=search_title_T1_result_458,Robert Zemeckis,https://pro.imdb.com/name/nm0000709/?ref_=search_title_T1_result_s_458
458,Green Lantern,"                
            $200MM

",https://pro.imdb.com/title/tt1133985/?ref_=search_title_T1_result_459,Martin Campbell,https://pro.imdb.com/name/nm0132709/?ref_=search_title_T1_result_s_459
459,Total Recall,"                
            $125MM

",https://pro.imdb.com/title/tt1386703/?ref_=search_title_T1_result_460,Len Wiseman,https://pro.imdb.com/name/nm0936482/?ref_=search_title_T1_result_s_460
460,Ender's Game,"                
            $110MM

",https://pro.imdb.com/title/tt1731141/?ref_=search_title_T1_result_461,Gavin Hood,https://pro.imdb.com/name/nm0004303/?ref_=search_title_T1_result_s_461
461,Side Effects,"                
            $30MM

",https://pro.imdb.com/title/tt2053463/?ref_=search_title_T1_result_462,Steven Soderbergh,https://pro.imdb.com/name/nm0001752/?ref_=search_title_T1_result_s_462
462,Green Room,"                
            $5MM

",https://pro.imdb.com/title/tt4062536/?ref_=search_title_T1_result_463,Jeremy Saulnier,https://pro.imdb.com/name/nm1099918/?ref_=search_title_T1_result_s_463
463,Truth or Dare,"                
            $3.5MM

",https://pro.imdb.com/title/tt6772950/?ref_=search_title_T1_result_464,Jeff Wadlow,https://pro.imdb.com/name/nm0905592/?ref_=search_title_T1_result_s_464
464,Into the Woods,"                
            $50MM

",https://pro.imdb.com/title/tt2180411/?ref_=search_title_T1_result_465,Rob Marshall,https://pro.imdb.com/name/nm0551128/?ref_=search_title_T1_result_s_465
465,American Assassin,"                
            $33MM

",https://pro.imdb.com/title/tt1961175/?ref_=search_title_T1_result_466,Michael Cuesta,https://pro.imdb.com/name/nm0191147/?ref_=search_title_T1_result_s_466
466,How to Train Your Dragon,"                
            $165MM

",https://pro.imdb.com/title/tt0892769/?ref_=search_title_T1_result_467,Dean DeBlois,https://pro.imdb.com/name/nm0213450/?ref_=search_title_T1_result_s_467
467,10 Cloverfield Lane,"                
            $15MM

",https://pro.imdb.com/title/tt1179933/?ref_=search_title_T1_result_468,Dan Trachtenberg,https://pro.imdb.com/name/nm0870469/?ref_=search_title_T1_result_s_468
468,Dumb and Dumber To,"                
            $35MM

",https://pro.imdb.com/title/tt2096672/?ref_=search_title_T1_result_469,Bobby Farrelly,https://pro.imdb.com/name/nm0268370/?ref_=search_title_T1_result_s_469
469,Pitch Perfect 3,"                
            $45MM

",https://pro.imdb.com/title/tt4765284/?ref_=search_title_T1_result_470,Trish Sie,https://pro.imdb.com/name/nm2586324/?ref_=search_title_T1_result_s_470
470,The Raid: Redemption,"                
            $1.1MM

",https://pro.imdb.com/title/tt1899353/?ref_=search_title_T1_result_471,Gareth Evans,https://pro.imdb.com/name/nm2153088/?ref_=search_title_T1_result_s_471
471,The Secret Life of Walter Mitty,"                
            $90MM

",https://pro.imdb.com/title/tt0359950/?ref_=search_title_T1_result_472,Ben Stiller,https://pro.imdb.com/name/nm0001774/?ref_=search_title_T1_result_s_472
472,Chappie,"                
            $49MM

",https://pro.imdb.com/title/tt1823672/?ref_=search_title_T1_result_473,Neill Blomkamp,https://pro.imdb.com/name/nm0088955/?ref_=search_title_T1_result_s_473
473,If Beale Street Could Talk,"                
            $12MM

",https://pro.imdb.com/title/tt7125860/?ref_=search_title_T1_result_474,Barry Jenkins,https://pro.imdb.com/name/nm1503575/?ref_=search_title_T1_result_s_474
474,Source Code,"                
            $32MM

",https://pro.imdb.com/title/tt0945513/?ref_=search_title_T1_result_475,Duncan Jones,https://pro.imdb.com/name/nm1512910/?ref_=search_title_T1_result_s_475
475,The Hunger Games: Mockingjay - Part 1,"                
            $125MM

",https://pro.imdb.com/title/tt1951265/?ref_=search_title_T1_result_476,Francis Lawrence,https://pro.imdb.com/name/nm1349376/?ref_=search_title_T1_result_s_476
476,47 Ronin,"                
            $175MM

",https://pro.imdb.com/title/tt1335975/?ref_=search_title_T1_result_477,Carl Rinsch,https://pro.imdb.com/name/nm0727754/?ref_=search_title_T1_result_s_477
477,All the Money in the World,"                
            $50MM

",https://pro.imdb.com/title/tt5294550/?ref_=search_title_T1_result_478,Ridley Scott,https://pro.imdb.com/name/nm0000631/?ref_=search_title_T1_result_s_478
478,This Means War,"                
            $65MM

",https://pro.imdb.com/title/tt1596350/?ref_=search_title_T1_result_479,McG,https://pro.imdb.com/name/nm0629334/?ref_=search_title_T1_result_s_479
479,We Need to Talk About Kevin,"                
            $7MM

",https://pro.imdb.com/title/tt1242460/?ref_=search_title_T1_result_480,Lynne Ramsay,https://pro.imdb.com/name/nm0708903/?ref_=search_title_T1_result_s_480
480,Pacific Rim: Uprising,"                
            $150MM

",https://pro.imdb.com/title/tt2557478/?ref_=search_title_T1_result_481,Steven S. DeKnight,https://pro.imdb.com/name/nm0215299/?ref_=search_title_T1_result_s_481
481,Mud,"                
            $10MM

",https://pro.imdb.com/title/tt1935179/?ref_=search_title_T1_result_482,Jeff Nichols,https://pro.imdb.com/name/nm2158772/?ref_=search_title_T1_result_s_482
482,RED,"                
            $58MM

",https://pro.imdb.com/title/tt1245526/?ref_=search_title_T1_result_483,Robert Schwentke,https://pro.imdb.com/name/nm0777881/?ref_=search_title_T1_result_s_483
483,Pain & Gain,"                
            $26MM

",https://pro.imdb.com/title/tt1980209/?ref_=search_title_T1_result_484,Michael Bay,https://pro.imdb.com/name/nm0000881/?ref_=search_title_T1_result_s_484
484,The Danish Girl,"                
            $15MM

",https://pro.imdb.com/title/tt0810819/?ref_=search_title_T1_result_485,Tom Hooper,https://pro.imdb.com/name/nm0393799/?ref_=search_title_T1_result_s_485
485,El Chicano,"                
            $8MM

",https://pro.imdb.com/title/tt7374952/?ref_=search_title_T1_result_486,Ben Hernandez Bray,https://pro.imdb.com/name/nm0004554/?ref_=search_title_T1_result_s_486
486,The Fighter,"                
            $25MM

",https://pro.imdb.com/title/tt0964517/?ref_=search_title_T1_result_487,David O. Russell,https://pro.imdb.com/name/nm0751102/?ref_=search_title_T1_result_s_487
487,Sinister,"                
            $3MM

",https://pro.imdb.com/title/tt1922777/?ref_=search_title_T1_result_488,Scott Derrickson,https://pro.imdb.com/name/nm0220600/?ref_=search_title_T1_result_s_488
488,Disobedience,"                
            $6MM

",https://pro.imdb.com/title/tt6108178/?ref_=search_title_T1_result_489,Sebastián Lelio,https://pro.imdb.com/name/nm0133326/?ref_=search_title_T1_result_s_489
489,Robin Hood,"                
            $200MM

",https://pro.imdb.com/title/tt0955308/?ref_=search_title_T1_result_490,Ridley Scott,https://pro.imdb.com/name/nm0000631/?ref_=search_title_T1_result_s_490
490,Captain Phillips,"                
            $55MM

",https://pro.imdb.com/title/tt1535109/?ref_=search_title_T1_result_491,Paul Greengrass,https://pro.imdb.com/name/nm0339030/?ref_=search_title_T1_result_s_491
491,Operation Finale,"                
            $24MM

",https://pro.imdb.com/title/tt5208252/?ref_=search_title_T1_result_492,Chris Weitz,https://pro.imdb.com/name/nm0919363/?ref_=search_title_T1_result_s_492
492,Slender Man,"                
            $10MM

",https://pro.imdb.com/title/tt5690360/?ref_=search_title_T1_result_493,Sylvain White,https://pro.imdb.com/name/nm1234893/?ref_=search_title_T1_result_s_493
493,The Other Woman,"                
            $40MM

",https://pro.imdb.com/title/tt2203939/?ref_=search_title_T1_result_494,Nick Cassavetes,https://pro.imdb.com/name/nm0001024/?ref_=search_title_T1_result_s_494
494,Central Intelligence,"                
            $50MM

",https://pro.imdb.com/title/tt1489889/?ref_=search_title_T1_result_495,Rawson Marshall Thurber,https://pro.imdb.com/name/nm1098493/?ref_=search_title_T1_result_s_495
495,White House Down,"                
            $150MM

",https://pro.imdb.com/title/tt2334879/?ref_=search_title_T1_result_496,Roland Emmerich,https://pro.imdb.com/name/nm0000386/?ref_=search_title_T1_result_s_496
496,A Wrinkle in Time,"                
            $100MM

",https://pro.imdb.com/title/tt1620680/?ref_=search_title_T1_result_497,Ava DuVernay,https://pro.imdb.com/name/nm1148550/?ref_=search_title_T1_result_s_497
497,Sex Tape,"                
            $40MM

",https://pro.imdb.com/title/tt1956620/?ref_=search_title_T1_result_498,Jake Kasdan,https://pro.imdb.com/name/nm0440458/?ref_=search_title_T1_result_s_498
498,Ferdinand,"                
            $111MM

",https://pro.imdb.com/title/tt3411444/?ref_=search_title_T1_result_499,Carlos Saldanha,https://pro.imdb.com/name/nm0757858/?ref_=search_title_T1_result_s_499
499,The Great Wall,"                
            $150MM

",https://pro.imdb.com/title/tt2034800/?ref_=search_title_T1_result_500,Yimou Zhang,https://pro.imdb.com/name/nm0955443/?ref_=search_title_T1_result_s_500
500,That's My Boy,"                
            $70MM

",https://pro.imdb.com/title/tt1232200/?ref_=search_title_T1_result_501,Sean Anders,https://pro.imdb.com/name/nm1890845/?ref_=search_title_T1_result_s_501
501,White Boy Rick,"                
            $29MM

",https://pro.imdb.com/title/tt4537896/?ref_=search_title_T1_result_502,Yann Demange,https://pro.imdb.com/name/nm1312919/?ref_=search_title_T1_result_s_502
502,Noah,"                
            $125MM

",https://pro.imdb.com/title/tt1959490/?ref_=search_title_T1_result_503,Darren Aronofsky,https://pro.imdb.com/name/nm0004716/?ref_=search_title_T1_result_s_503
503,Seven Psychopaths,"                
            $15MM

",https://pro.imdb.com/title/tt1931533/?ref_=search_title_T1_result_504,Martin McDonagh,https://pro.imdb.com/name/nm1732981/?ref_=search_title_T1_result_s_504
504,Jigsaw,"                
            $10MM

",https://pro.imdb.com/title/tt3348730/?ref_=search_title_T1_result_505,Michael Spierig,https://pro.imdb.com/name/nm1294961/?ref_=search_title_T1_result_s_505
505,How to Be Single,"                
            $38MM

",https://pro.imdb.com/title/tt1292566/?ref_=search_title_T1_result_506,Christian Ditter,https://pro.imdb.com/name/nm0228542/?ref_=search_title_T1_result_s_506
506,The Big Sick,"                
            $5MM

",https://pro.imdb.com/title/tt5462602/?ref_=search_title_T1_result_507,Michael Showalter,https://pro.imdb.com/name/nm0795290/?ref_=search_title_T1_result_s_507
507,Homefront,"                
            $22MM

",https://pro.imdb.com/title/tt2312718/?ref_=search_title_T1_result_508,Gary Fleder,https://pro.imdb.com/name/nm0001219/?ref_=search_title_T1_result_s_508
508,Insurgent,"                
            $110MM

",https://pro.imdb.com/title/tt2908446/?ref_=search_title_T1_result_509,Robert Schwentke,https://pro.imdb.com/name/nm0777881/?ref_=search_title_T1_result_s_509
509,Drive Angry,"                
            $50MM

",https://pro.imdb.com/title/tt1502404/?ref_=search_title_T1_result_510,Patrick Lussier,https://pro.imdb.com/name/nm0527261/?ref_=search_title_T1_result_s_510
510,The Man with the Iron Fists,"                
            $15MM

",https://pro.imdb.com/title/tt1258972/?ref_=search_title_T1_result_511,RZA,https://pro.imdb.com/name/nm0753526/?ref_=search_title_T1_result_s_511
511,Daddy's Home 2,"                
            $69MM

",https://pro.imdb.com/title/tt5657846/?ref_=search_title_T1_result_512,Sean Anders,https://pro.imdb.com/name/nm1890845/?ref_=search_title_T1_result_s_512
512,Rise of the Planet of the Apes,"                
            $93MM

",https://pro.imdb.com/title/tt1318514/?ref_=search_title_T1_result_513,Rupert Wyatt,https://pro.imdb.com/name/nm1012501/?ref_=search_title_T1_result_s_513
513,Friends with Benefits,"                
            $35MM

",https://pro.imdb.com/title/tt1632708/?ref_=search_title_T1_result_514,Will Gluck,https://pro.imdb.com/name/nm0323239/?ref_=search_title_T1_result_s_514
514,The Mortal Instruments: City of Bones,"                
            $60MM

",https://pro.imdb.com/title/tt1538403/?ref_=search_title_T1_result_515,Harald Zwart,https://pro.imdb.com/name/nm0958969/?ref_=search_title_T1_result_s_515
515,Salt,"                
            $110MM

",https://pro.imdb.com/title/tt0944835/?ref_=search_title_T1_result_516,Phillip Noyce,https://pro.imdb.com/name/nm0637518/?ref_=search_title_T1_result_s_516
516,Exodus: Gods and Kings,"                
            $140MM

",https://pro.imdb.com/title/tt1528100/?ref_=search_title_T1_result_517,Ridley Scott,https://pro.imdb.com/name/nm0000631/?ref_=search_title_T1_result_s_517
517,Despicable Me 3,"                
            $80MM

",https://pro.imdb.com/title/tt3469046/?ref_=search_title_T1_result_518,Kyle Balda,https://pro.imdb.com/name/nm0049633/?ref_=search_title_T1_result_s_518
518,Trolls,"                
            $125MM

",https://pro.imdb.com/title/tt1679335/?ref_=search_title_T1_result_519,Mike Mitchell,https://pro.imdb.com/name/nm0593610/?ref_=search_title_T1_result_s_519
519,The Beguiled,"                
            $10MM

",https://pro.imdb.com/title/tt5592248/?ref_=search_title_T1_result_520,Sofia Coppola,https://pro.imdb.com/name/nm0001068/?ref_=search_title_T1_result_s_520
520,Hanna,"                
            $30MM

",https://pro.imdb.com/title/tt0993842/?ref_=search_title_T1_result_521,Joe Wright,https://pro.imdb.com/name/nm0942504/?ref_=search_title_T1_result_s_521
521,End of Watch,"                
            $7MM

",https://pro.imdb.com/title/tt1855199/?ref_=search_title_T1_result_522,David Ayer,https://pro.imdb.com/name/nm0043742/?ref_=search_title_T1_result_s_522
522,The Internship,"                
            $58MM

",https://pro.imdb.com/title/tt2234155/?ref_=search_title_T1_result_523,Shawn Levy,https://pro.imdb.com/name/nm0506613/?ref_=search_title_T1_result_s_523
