,titles,budgets,film_page_urls,directors,director_page_urls
31,Green Book,"                
            $23MM

",https://pro.imdb.com/title/tt6966692/?ref_=search_title_T1_result_32,Peter Farrelly,https://pro.imdb.com/name/nm0268380/?ref_=search_title_T1_result_s_32
32,Inception,"                
            $160MM

",https://pro.imdb.com/title/tt1375666/?ref_=search_title_T1_result_33,Christopher Nolan,https://pro.imdb.com/name/nm0634240/?ref_=search_title_T1_result_s_33
33,Overlord,"                
            $38MM

",https://pro.imdb.com/title/tt4530422/?ref_=search_title_T1_result_34,Julius Avery,https://pro.imdb.com/name/nm1170339/?ref_=search_title_T1_result_s_34
34,Get Out,"                
            $5MM

",https://pro.imdb.com/title/tt5052448/?ref_=search_title_T1_result_35,Jordan Peele,https://pro.imdb.com/name/nm1443502/?ref_=search_title_T1_result_s_35
35,John Wick,"                
            $20MM

",https://pro.imdb.com/title/tt2911666/?ref_=search_title_T1_result_36,Chad Stahelski,https://pro.imdb.com/name/nm0821432/?ref_=search_title_T1_result_s_36
36,Baby Driver,"                
            $34MM

",https://pro.imdb.com/title/tt3890160/?ref_=search_title_T1_result_37,Edgar Wright,https://pro.imdb.com/name/nm0942367/?ref_=search_title_T1_result_s_37
37,Black Panther,"                
            $200MM

",https://pro.imdb.com/title/tt1825683/?ref_=search_title_T1_result_38,Ryan Coogler,https://pro.imdb.com/name/nm3363032/?ref_=search_title_T1_result_s_38
38,BlacKkKlansman,"                
            $15MM

",https://pro.imdb.com/title/tt7349662/?ref_=search_title_T1_result_39,Spike Lee,https://pro.imdb.com/name/nm0000490/?ref_=search_title_T1_result_s_39
39,Beauty and the Beast,"                
            $160MM

",https://pro.imdb.com/title/tt2771200/?ref_=search_title_T1_result_40,Bill Condon,https://pro.imdb.com/name/nm0174374/?ref_=search_title_T1_result_s_40
40,Gone Girl,"                
            $61MM

",https://pro.imdb.com/title/tt2267998/?ref_=search_title_T1_result_41,David Fincher,https://pro.imdb.com/name/nm0000399/?ref_=search_title_T1_result_s_41
41,The Greatest Showman,"                
            $84MM

",https://pro.imdb.com/title/tt1485796/?ref_=search_title_T1_result_42,Michael Gracey,https://pro.imdb.com/name/nm1243905/?ref_=search_title_T1_result_s_42
42,Justice League,"                
            $300MM

",https://pro.imdb.com/title/tt0974015/?ref_=search_title_T1_result_43,Zack Snyder,https://pro.imdb.com/name/nm0811583/?ref_=search_title_T1_result_s_43
43,Fast & Furious 6,"                
            $160MM

",https://pro.imdb.com/title/tt1905041/?ref_=search_title_T1_result_44,Justin Lin,https://pro.imdb.com/name/nm0510912/?ref_=search_title_T1_result_s_44
44,Guardians of the Galaxy,"                
            $170MM

",https://pro.imdb.com/title/tt2015381/?ref_=search_title_T1_result_45,James Gunn,https://pro.imdb.com/name/nm0348181/?ref_=search_title_T1_result_s_45
45,Guardians of the Galaxy Vol. 2,"                
            $200MM

",https://pro.imdb.com/title/tt3896198/?ref_=search_title_T1_result_46,James Gunn,https://pro.imdb.com/name/nm0348181/?ref_=search_title_T1_result_s_46
46,xXx: Return of Xander Cage,"                
            $85MM

",https://pro.imdb.com/title/tt1293847/?ref_=search_title_T1_result_47,D.J. Caruso,https://pro.imdb.com/name/nm0142286/?ref_=search_title_T1_result_s_47
47,Dunkirk,"                
            $100MM

",https://pro.imdb.com/title/tt5013056/?ref_=search_title_T1_result_48,Christopher Nolan,https://pro.imdb.com/name/nm0634240/?ref_=search_title_T1_result_s_48
48,Baywatch,"                
            $69MM

",https://pro.imdb.com/title/tt1469304/?ref_=search_title_T1_result_49,Seth Gordon,https://pro.imdb.com/name/nm1164861/?ref_=search_title_T1_result_s_49
49,A Quiet Place,"                
            $17MM

",https://pro.imdb.com/title/tt6644200/?ref_=search_title_T1_result_50,John Krasinski,https://pro.imdb.com/name/nm1024677/?ref_=search_title_T1_result_s_50
50,Red Sparrow,"                
            $69MM

",https://pro.imdb.com/title/tt2873282/?ref_=search_title_T1_result_51,Francis Lawrence,https://pro.imdb.com/name/nm1349376/?ref_=search_title_T1_result_s_51
51,Peppermint,"                
            $25MM

",https://pro.imdb.com/title/tt6850820/?ref_=search_title_T1_result_52,Pierre Morel,https://pro.imdb.com/name/nm0603628/?ref_=search_title_T1_result_s_52
52,Edge of Tomorrow,"                
            $178MM

",https://pro.imdb.com/title/tt1631867/?ref_=search_title_T1_result_53,Doug Liman,https://pro.imdb.com/name/nm0510731/?ref_=search_title_T1_result_s_53
53,The Hunger Games,"                
            $78MM

",https://pro.imdb.com/title/tt1392170/?ref_=search_title_T1_result_54,Gary Ross,https://pro.imdb.com/name/nm0002657/?ref_=search_title_T1_result_s_54
54,Mortal Engines,"                
            $100MM

",https://pro.imdb.com/title/tt1571234/?ref_=search_title_T1_result_55,Christian Rivers,https://pro.imdb.com/name/nm0729514/?ref_=search_title_T1_result_s_55
55,The Avengers,"                
            $220MM

",https://pro.imdb.com/title/tt0848228/?ref_=search_title_T1_result_56,Joss Whedon,https://pro.imdb.com/name/nm0923736/?ref_=search_title_T1_result_s_56
56,Wonder Woman,"                
            $149MM

",https://pro.imdb.com/title/tt0451279/?ref_=search_title_T1_result_57,Patty Jenkins,https://pro.imdb.com/name/nm0420941/?ref_=search_title_T1_result_s_57
57,Cinderella,"                
            $95MM

",https://pro.imdb.com/title/tt1661199/?ref_=search_title_T1_result_58,Kenneth Branagh,https://pro.imdb.com/name/nm0000110/?ref_=search_title_T1_result_s_58
58,The Witch,"                
            $3.5MM

",https://pro.imdb.com/title/tt4263482/?ref_=search_title_T1_result_59,Robert Eggers,https://pro.imdb.com/name/nm3211470/?ref_=search_title_T1_result_s_59
59,The Meg,"                
            $130MM

",https://pro.imdb.com/title/tt4779682/?ref_=search_title_T1_result_60,Jon Turteltaub,https://pro.imdb.com/name/nm0005509/?ref_=search_title_T1_result_s_60
60,Mad Max: Fury Road,"                
            $150MM

",https://pro.imdb.com/title/tt1392190/?ref_=search_title_T1_result_61,George Miller,https://pro.imdb.com/name/nm0004306/?ref_=search_title_T1_result_s_61
61,Captain America: Civil War,"                
            $250MM

",https://pro.imdb.com/title/tt3498820/?ref_=search_title_T1_result_62,Anthony Russo,https://pro.imdb.com/name/nm0751577/?ref_=search_title_T1_result_s_62
62,Suspiria,"                
            $20MM

",https://pro.imdb.com/title/tt1034415/?ref_=search_title_T1_result_63,Luca Guadagnino,https://pro.imdb.com/name/nm0345174/?ref_=search_title_T1_result_s_63
63,Shutter Island,"                
            $80MM

",https://pro.imdb.com/title/tt1130884/?ref_=search_title_T1_result_64,Martin Scorsese,https://pro.imdb.com/name/nm0000217/?ref_=search_title_T1_result_s_64
64,Avengers: Age of Ultron,"                
            $250MM

",https://pro.imdb.com/title/tt2395427/?ref_=search_title_T1_result_65,Joss Whedon,https://pro.imdb.com/name/nm0923736/?ref_=search_title_T1_result_s_65
65,The Mule,"                
            $50MM

",https://pro.imdb.com/title/tt7959026/?ref_=search_title_T1_result_66,Clint Eastwood,https://pro.imdb.com/name/nm0000142/?ref_=search_title_T1_result_s_66
66,Boy Erased,"                
            $11MM

",https://pro.imdb.com/title/tt7008872/?ref_=search_title_T1_result_67,Joel Edgerton,https://pro.imdb.com/name/nm0249291/?ref_=search_title_T1_result_s_67
67,Deadpool,"                
            $58MM

",https://pro.imdb.com/title/tt1431045/?ref_=search_title_T1_result_68,Tim Miller,https://pro.imdb.com/name/nm1783265/?ref_=search_title_T1_result_s_68
68,Ready Player One,"                
            $175MM

",https://pro.imdb.com/title/tt1677720/?ref_=search_title_T1_result_69,Steven Spielberg,https://pro.imdb.com/name/nm0000229/?ref_=search_title_T1_result_s_69
